idArticle;categorie;designation;stockAlerte;DCI1;DCI2;DCI3;prixVenteHT;prixVenteTTC;prixAchatHT;prixAchatTTC
1;;PRADIS FORT 0.4'FL/30ML;5;METOCLOPRAMIDE;;;1,740;1,820;1,253;1,253
10;PARAPHARMACIE;LE NATUREL STOP + GEL;0;;;;5,618;6,629;3,745;4,419
100;MEDICAMENT;QUIETUDE SP ENF 200ML;1;;;;9,784;9,784;7,242;7,242
1000;PARAPHARMACIE;ECRINAL DURCISSEUR LIQU.;1;;;;8,186;9,659;5,457;6,439
10000;PREPARATION;PM63789 PREPARATION MAGISTRALE;0;;;;28,039;28,039;14,583;14,583
10001;PREPARATION;PREPARATION MAGISTRALE IP2618;0;;;;28,039;28,039;14,583;14,583
10002;PREPARATION;PREPARATION MAGISTRALE;0;;;;,000;,000;,000;,000
10003;MEDICAMENT;GALDERMA CLOBEX SHAMPOING;1;;;;30,850;30,850;23,442;23,442
10004;VETERINAIRE;DELTAMED SHAMPOING 200ML;1;;;;11,000;11,000;8,142;8,142
10005;LAIT;MATERNA COMPOTE POMME POIRE;1;;;;2,041;2,408;1,512;1,784
10006;PREPARATION;PREPARATION MAGISTRALE;0;;;;,000;,000;,000;,000
10007;PREPARATION;PREPARATION MAGISTRALE;0;;;;,000;,000;,000;,000
10008;PREPARATION;PREPARATION MAGISTRALE;0;;;;,000;,000;,000;,000
10009;PREPARATION;PM63440 PREPARATION MAGISTRALE;0;;;;22,263;22,263;10,249;10,249
1001;ACCESSOIRE;EZALO AIR LIBRE;0;;;;4,680;5,522;3,120;3,681
10010;PREPARATION;PREPARATION MAGISTRALE IP2623;0;;;;22,263;22,263;10,249;10,249
10011;PREPARATION;PM63441 PREPARATION MAGISTRALE;0;;;;18,587;18,587;9,282;9,282
10012;PREPARATION;PREPARATION MAGISTRALE IP2624;0;;;;18,587;18,587;9,282;9,282
10013;PREPARATION;PM63442 PREPARATION MAGISTRALE;0;;;;18,606;18,606;9,282;9,282
10014;PREPARATION;PREPARATION MAGISTRALE IP2625;0;;;;18,606;18,606;9,282;9,282
10015;MEDICAMENT;DEPO-MEDROL 40MG BT/1;0;METHYLPREDNISOLONE;;;3,914;3,994;2,897;2,897
10016;PRODUITS CHIMIQUES;MICROS TILLEUL AUBIER 100GR;1;;;;35,626;42,039;17,813;21,019
10017;PREPARATION;PM63443 PREPARATION MAGISTRALE;0;;;;24,272;24,272;9,990;9,990
10018;PREPARATION;PREPARATION MAGISTRALE IP2626;0;;;;24,272;24,272;9,990;9,990
10019;PREPARATION;PREPARATION MAGISTRALE;0;;;;,000;,000;,000;,000
1002;PARAPHARMACIE;URIAGE GEL CU-ZN LIQUIDE;0;;;;27,119;32,000;18,079;21,333
10020;PREPARATION;PREPARATION MAGISTRALE;0;;;;,000;,000;,000;,000
10021;PREPARATION;PM63444 PREPARATION MAGISTRALE;0;;;;24,378;24,378;10,059;10,059
10022;PREPARATION;PREPARATION MAGISTRALE IP2629;0;;;;24,378;24,378;10,059;10,059
10023;MEDICAMENT;SUPRASTENE GTT FL/30ML;1;BETAMETHASONE;;;3,540;3,620;2,620;2,620
10024;PREPARATION;PREPARATION MAGISTRALE IP892;0;;;;27,696;27,696;7,189;7,189
10025;PREPARATION;PREPARATION MAGISTRALE;0;;;;,000;,000;,000;,000
10026;PREPARATION;PREPARATION MAGISTRALE IP838;0;;;;27,642;27,642;13,486;13,486
10027;PREPARATION;PREPARATION MAGISTRALE IP2566;0;;;;37,446;37,446;21,738;21,738
10028;PREPARATION;PREPARATION MAGISTRALE IP2568;0;;;;34,548;34,548;18,997;18,997
10029;PREPARATION;PREPARATION MAGISTRALE IP892;0;;;;27,696;27,696;7,189;7,189
