idArticle;idFacture;idVendeur;idTime;qte;totHT;totRemise
10023;;15;164105;1;3,620;,000
10023;;21;163290;1;3,620;,000
10023;;23;162205;1;3,620;,000
10023;;32;164078;1;3,620;,000
1003;;21;162076;1;5,185;,000
10129;;14;163069;1;3,826;,000
10129;;23;161763;1;3,826;,000
10129;;32;163762;2;7,652;,000
1013;;12;161770;1;5,340;,000
1014;;14;163515;1;11,655;,000
1014;;21;162076;1;11,655;,000
1014;;22;161447;1;11,655;,000
10163;;14;161603;1;17,035;,000
10163;;14;163191;1;17,035;,000
10163;;14;163394;1;16,975;,351
10163;;32;163003;1;17,035;,000
1018;;14;162067;1;2,885;,000
10234;;21;163279;1;13,694;,000
1024;;12;162992;1;11,234;,000
10250;;32;161929;1;4,725;,000
10262;;12;161135;2;6,630;,000
10262;;14;160738;3;9,945;,000
10286;;22;161773;6;179,880;,000
10287;;32;161897;2;24,644;1,842
10293;;14;160617;1;4,575;,000
10293;;14;161348;1;4,575;,000
10293;;14;162881;1;4,575;,000
10294;;12;162273;1;5,500;,000
10294;;14;160647;1;5,500;,000
10294;;22;160884;1;5,500;,000
10294;;22;161246;1;5,500;,000
10294;;22;164009;1;5,500;,000
10296;;14;162086;1;23,170;,000
10296;;14;163736;1;23,170;,000
1032;;12;162352;4;30,420;,000
1032;;14;162909;1;7,605;,000
1032;;22;161773;4;30,420;,000
1032;;32;161863;4;30,400;,068
10346;;12;160393;1;7,260;,000
10346;;12;161018;1;7,260;,000
10346;;12;162977;1;7,260;,000
10346;;14;161515;1;7,260;,000
10346;;23;162133;1;7,260;,000
10346;;23;162764;1;7,260;,000
10346;;32;160441;1;7,260;,000
10346;;32;161937;1;7,260;,000
10346;;32;162147;1;7,260;,000
10346;;32;162631;1;7,260;,000
1040;;32;161904;1;11,151;,000
10427;;14;162086;1;11,161;,000
10428;;14;161572;3;59,940;,000
1047;;12;163746;1;11,020;,000
1047;;32;161326;1;11,020;,000
10555;;14;163801;1;7,475;,000
10555;;14;164076;1;7,475;,000
10555;;32;161006;1;7,475;,000
106;;14;162578;1;7,979;,000
1068;;14;164141;1;3,585;,000
10686;;32;161863;2;195,726;,068
10694;;14;162259;1;9,615;,000
10712;;14;164075;1;3,027;,000
10712;;23;162733;1;3,027;,000
10722;;32;161446;1;5,730;,000
10733;;12;163815;1;16,752;,000
10733;;22;161362;1;16,752;,000
1075;;14;162481;2;8,160;,000
1076;;14;162937;1;3,000;,000
1076;;21;163061;1;3,000;,000
10804;;22;161257;1;10,350;,000
10847;;32;161360;1;29,719;,667
10877;;32;162315;1;21,550;,000
1088;;12;162551;1;3,390;,000
1089;;14;160357;1;4,685;,000
1089;;22;160798;1;4,685;,000
1089;;32;162689;1;4,685;,000
109;;12;163022;1;9,500;,000
109;;14;162872;1;9,500;,000
109;;23;162787;1;9,500;,000
109;;32;161695;2;19,000;,000
1090;;32;163449;3;35,805;,000
10921;;12;160977;1;3,020;,000
10921;;14;163832;1;3,020;,000
1093;;32;161127;1;3,775;,000
10959;;32;164140;1;10,659;,000
1096;;32;163532;1;4,585;,000
1102;;12;160854;1;10,737;,000
1102;;14;162921;1;10,737;,000
11057;;21;161708;3;118,530;,000
11058;;32;163696;1;15,200;,000
1113;;12;162428;1;29,615;,000
1113;;23;162774;1;29,615;,000
11130;;22;162797;-1;-19,373;,000
1114;;14;161085;1;2,453;,000
11167;;14;162101;1;6,163;,000
1117;;14;161427;2;10,660;,000
11227;;32;161883;1;2,965;,000
1125;;14;162481;1;21,750;,000
11252;;32;160561;1;34,322;,088
1134;;12;161765;5;2,500;,000
1134;;12;163092;2;1,000;,000
1134;;12;163980;3;1,500;,000
1134;;32;161406;1;,500;,000
1135;;12;163399;1;18,774;,000
1135;;12;163545;1;18,774;,000
1135;;23;162748;1;18,774;,000
1135;;32;163241;1;18,774;,000
1138;;14;161032;1;9,530;,000
11406;;12;160820;2;10,080;,000
1144;;32;163639;1;9,800;,000
11504;;14;162283;2;6,500;1,975
11505;;14;161024;1;7,915;,000
11505;;32;162297;1;7,915;,000
1155;;22;161277;1;2,914;,000
1155;;32;161863;1;2,912;,068
11559;;14;162443;1;57,469;,000
1158;;14;161572;1;3,029;,000
1158;;14;163281;1;2,726;10,000
1158;;22;164115;2;6,058;,000
1158;;32;163599;2;6,058;,000
116;;32;161457;1;4,595;,000
116;;32;162986;1;4,595;,000
11660;;14;161921;2;13,940;,000
11660;;22;164057;1;6,970;,000
11660;;32;163207;1;6,970;,000
11675;;12;162428;1;36,553;,000
11790;;32;160388;1;1,362;,000
1183;;15;164155;1;7,000;,000
1183;;22;163413;1;7,000;,000
1183;;22;163906;2;14,000;,000
11838;;32;160555;1;9,111;,000
1188;;23;162133;1;15,095;,000
1189;;12;160787;1;65,626;,000
1189;;12;160906;1;65,626;,000
1189;;12;162261;1;65,626;,000
1189;;12;162992;1;65,626;,000
1189;;14;162423;1;65,626;,000
1189;;22;161359;1;65,626;,000
1189;;23;162202;1;65,626;,000
1189;;32;163664;1;65,626;,000
11982;;12;160520;1;44,176;,000
12029;;14;160485;1;2,995;,000
12029;;32;160902;1;2,995;,000
12045;;21;163040;1;20,440;,000
12101;;32;160356;1;6,015;,000
1213;;14;162269;1;3,403;,000
12144;;32;163964;1;18,825;,000
1216;;15;160896;1;3,063;,000
1216;;22;162901;1;3,063;,000
12190;;15;164144;1;6,415;,000
12190;;23;162615;1;6,415;,000
12193;;14;162644;1;56,250;,000
12194;;23;162052;1;32,400;,000
12293;;21;163030;1;18,644;3,510
123;;14;163147;1;4,165;,000
12399;;32;163873;1;5,949;,000
1243;;14;162513;1;2,632;,000
1243;;32;160697;1;2,632;,000
12489;;32;162339;3;9,747;2,034
1250;;12;163695;1;10,880;,000
1250;;32;162558;1;10,880;,000
1252;;12;162599;1;33,750;,000
1257;;22;161122;1;9,821;6,461
1257;;32;163570;1;10,499;,000
12588;;22;164095;1;23,082;,000
12597;;14;162529;1;2,447;,000
12597;;22;163986;1;2,447;,000
12598;;14;163063;1;37,520;,000
